,ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,race_ethnicity,state_name,ideology,leadership,district,Full Name,Link,User_name
112,211983k,2022,Deborah,,Ross,Democrat,Congress,U.S. Representative,NC,White,North Carolina,,,2.0,Deborah Ross,https://twitter.com/RepDeborahRoss ," '@RepDeborahRoss',"
113,158750k,2022,Lucille,,Roybal-Allard,Democrat,Congress,U.S. Representative,CA,Latina,California,,,4.0,Lucille Roybal-Allard,https://twitter.com/RepRoybalAllard ," '@RepRoybalAllard',"
114,658161k,2022,Maria,,Salazar,Republican,Congress,U.S. Representative,FL,Latina,Florida,,,27.0,Maria Salazar,https://twitter.com/RepMariaSalazar ," '@RepMariaSalazar',"
115,211684k,2022,Linda,T.,Sanchez,Democrat,Congress,U.S. Representative,CA,Latina,California,0.2354970319950229,0.7917156347110395,38.0,Linda T. Sanchez,https://twitter.com/RepLindaSanchez ," '@RepLindaSanchez',"
116,655204k,2022,Mary,Gay,Scanlon,Democrat,Congress,U.S. Representative,PA,White,Pennsylvania,0.1915629044218183,0.3910477639947708,5.0,Mary Gay Scanlon,https://twitter.com/RepMGS ," '@RepMGS',"
117,158836k,2022,Jan,D.,Schakowsky,Democrat,Congress,U.S. Representative,IL,White,Illinois,0.0607104787332853,0.9529193167907442,9.0,Jan D. Schakowsky,https://twitter.com/repschakowsky ," '@repschakowsky',"
118,632874k,2022,Kim,,Schrier,Democrat,Congress,U.S. Representative,WA,White,Washington,0.3517754078405817,0.4570459340470055,8.0,Kim Schrier,https://twitter.com/RepKimSchrier ," '@RepKimSchrier',"
119,283908k,2022,Terri,A.,Sewell,Democrat,Congress,U.S. Representative,AL,Black,Alabama,0.319223779528793,0.904466515122707,7.0,Terri A. Sewell,https://twitter.com/RepTerriSewell ," '@RepTerriSewell',"
120,625260k,2022,Mikie,,Sherrill,Democrat,Congress,U.S. Representative,NJ,White,New Jersey,0.3848711721928343,0.4636741754808483,11.0,Mikie Sherrill,https://twitter.com/RepSherrill ," '@RepSherrill',"
121,261745k,2022,Elissa,,Slotkin,Democrat,Congress,U.S. Representative,MI,White,Michigan,0.419421435227045,0.6185819048422863,8.0,Elissa Slotkin,https://twitter.com/repslotkin?lang=en ," '@repslotkin',"
122,630216k,2022,Abigail,D.,Spanberger,Democrat,Congress,U.S. Representative,VA,White,Virginia,0.5045442083151662,0.5844973095452498,7.0,Abigail D. Spanberger,https://twitter.com/RepSpanberger ," '@RepSpanberger',"
123,638877k,2022,Victoria,,Spartz,Republican,Congress,U.S. Representative,IN,White,Indiana,,,5.0,Victoria Spartz,https://twitter.com/RepSpartz ," '@RepSpartz',"
124,192997k,2022,Jackie,,Speier,Democrat,Congress,U.S. Representative,CA,White,California,0.2136465881207913,0.982012408502795,14.0,Jackie Speier,https://twitter.com/RepSpeier ," '@RepSpeier',"
125,461875k,2022,Melanie,A.,Stansbury,Democrat,Congress,U.S. Representative,NM,White,New Mexico,,,1.0,Melanie A. Stansbury,https://twitter.com/Rep_Stansbury ," '@Rep_Stansbury',"
126,694474k,2022,Michelle,,Steel,Republican,Congress,U.S. Representative,CA,Asian American/Pacific Islander,California,,,48.0,Michelle Steel,https://twitter.com/RepSteel ," '@RepSteel',"
127,247560k,2022,Elise,M.,Stefanik,Republican,Congress,U.S. Representative,NY,White,New York,0.7596498462230504,0.735608941907444,21.0,Elise M. Stefanik,https://twitter.com/repstefanik?lang=en ," '@repstefanik',"
